aX,aY,aZ,gX,gY,gZ
-0.206,1.468,-0.905,-142.395,-71.960,-165.771
-0.147,1.253,-0.893,-188.232,-171.875,-256.531
-0.009,0.914,-0.707,-177.734,-214.294,-268.311
0.044,0.759,-0.444,-79.346,-259.033,-317.871
0.163,0.075,0.124,31.982,-249.817,-365.601
0.214,-0.396,0.282,156.555,-230.896,-403.748
0.321,-1.193,0.652,311.035,-230.713,-412.720
0.441,-1.613,1.015,303.711,-256.470,-394.531
0.667,-2.050,1.575,95.215,-329.407,-255.493
1.345,-1.512,2.929,-84.961,-336.792,-123.657
1.322,-0.456,3.195,-228.333,-194.153,32.104
0.615,0.338,2.221,-76.721,-58.716,5.737
0.489,-0.248,1.577,74.219,57.556,-45.105
0.603,-0.936,1.281,-62.744,126.404,-53.955
0.696,-1.360,1.263,-209.351,127.808,2.014
0.664,-1.006,1.275,-258.118,157.227,135.742
0.763,-0.253,1.519,-236.328,183.411,164.124
0.789,-0.202,1.523,-282.654,260.132,164.001
0.720,-0.141,1.157,-319.031,289.612,171.204
0.603,0.003,0.927,-329.956,309.143,182.739
0.480,0.159,0.664,-297.363,339.844,183.594
0.276,0.260,0.128,-273.682,350.159,170.288
0.160,0.201,-0.151,-208.435,372.620,158.875
-0.095,0.233,-0.863,-167.419,382.751,165.710
-0.210,0.376,-1.251,-120.178,379.639,172.852
-0.409,0.746,-1.824,-5.066,314.636,153.015
-0.391,0.874,-1.977,47.913,258.667,122.925
-0.296,1.028,-2.012,79.590,112.488,56.946
-0.182,1.235,-1.630,87.524,41.565,13.000
-0.131,1.114,-1.350,136.963,-36.865,-75.073
0.006,0.694,-0.984,158.020,-49.927,-94.849
0.036,0.550,-0.944,161.011,-55.847,-95.947
0.122,0.511,-0.927,137.634,-79.712,-76.233
0.486,0.545,-0.634,118.896,-104.431,-74.280
0.654,0.554,-0.401,80.383,-139.343,-86.060
0.922,0.506,0.202,88.257,-141.296,-95.276
1.020,0.406,0.513,85.571,-106.323,-101.868
1.173,0.142,0.726,69.031,-70.862,-87.830
1.230,0.061,0.613,57.434,-34.607,-61.584
1.218,0.034,0.460,37.781,3.418,1.160
1.154,0.192,0.210,28.076,7.446,31.311
1.089,0.397,0.101,31.677,8.484,65.796
0.893,0.785,-0.095,19.592,1.770,56.641
0.814,0.840,-0.151,-10.010,-10.132,28.381
0.735,0.765,-0.166,-45.959,-41.382,-46.509
0.701,0.411,-0.146,-18.127,-59.937,-50.171
0.756,0.469,-0.162,12.817,-96.375,2.747
0.812,0.740,-0.132,21.057,-109.558,-0.366
0.776,0.809,0.057,-171.631,-134.155,-3.418
0.706,0.811,0.097,-313.843,-125.671,0.061
0.691,0.563,-0.051,-348.816,-99.915,-23.132
0.692,0.193,-0.201,-227.051,-69.275,-50.903
0.901,0.028,-0.150,-149.719,-81.055,-5.859
0.968,0.418,0.100,51.941,-86.121,121.582
0.804,1.269,0.351,173.096,-58.533,132.690
0.713,1.329,0.275,255.859,-7.568,20.386
0.634,0.773,0.111,167.664,1.038,-43.091
0.607,0.450,0.089,42.786,7.629,-71.838
0.620,0.316,0.082,-77.637,30.579,-33.325
0.759,0.404,0.069,-48.462,52.612,-6.836
0.824,0.458,-0.017,-8.728,99.182,18.616
0.875,0.646,-0.191,-12.451,99.365,25.574
0.876,0.778,-0.075,0.732,82.275,30.029
0.839,0.844,0.076,18.555,53.467,8.362
0.726,0.685,-0.043,4.028,54.138,-19.043
0.725,0.533,-0.217,-40.405,25.452,-50.964
0.728,0.356,-0.235,-56.702,-4.761,-43.152
0.734,0.383,-0.151,-42.419,-35.095,-13.489
0.820,0.526,-0.123,-27.405,-36.194,-5.493
0.846,0.568,-0.111,-20.569,-39.551,-3.601
0.870,0.599,-0.051,-23.926,-47.668,-8.240
0.896,0.620,0.060,-23.987,-41.504,-10.376
0.864,0.599,0.061,-7.568,-16.479,-12.024
0.784,0.531,0.045,2.197,-4.333,-11.169
0.802,0.521,0.004,-14.954,20.264,-4.944
0.809,0.539,-0.081,-25.330,26.001,-1.831
0.817,0.541,-0.064,-27.771,26.489,-0.305
0.827,0.519,-0.063,-20.386,30.273,0.732
0.838,0.512,-0.132,-6.775,29.724,4.456
0.840,0.567,-0.133,-3.906,15.686,7.812
0.812,0.577,-0.101,-4.150,10.376,1.709
0.814,0.530,-0.108,-4.700,6.348,-5.859
0.808,0.497,-0.120,-6.775,3.479,-3.052
0.807,0.505,-0.095,-2.808,1.404,0.854
0.793,0.519,-0.056,29.724,6.592,8.118
0.754,0.535,-0.018,55.603,14.099,11.841
0.764,0.571,-0.047,64.392,28.687,14.282
0.812,0.636,-0.087,47.913,30.151,11.169
0.850,0.640,-0.112,21.179,29.358,5.554
0.891,0.617,-0.137,-21.118,20.691,-6.958
0.857,0.535,-0.126,-22.461,12.817,-7.935
0.804,0.526,-0.117,2.441,3.479,1.404
0.813,0.602,-0.133,11.108,-0.671,2.930
0.833,0.616,-0.107,3.845,-11.841,-4.578
0.807,0.554,-0.063,-6.226,-12.207,-7.629
0.732,0.508,-0.052,-11.475,-9.216,-7.568
0.662,0.482,-0.046,1.587,3.540,0.916
0.709,0.549,-0.111,4.456,11.230,4.517
0.761,0.572,-0.135,-11.047,13.245,1.709
0.814,0.562,-0.113,-16.296,10.315,-0.549
0.836,0.563,-0.101,-3.601,6.531,-0.488
0.887,0.565,-0.116,1.892,3.906,-0.671
0.894,0.543,-0.132,1.038,0.183,-1.709
0.849,0.516,-0.134,-6.958,-8.179,0.671
0.777,0.545,-0.095,-8.179,-10.010,5.066
0.777,0.573,-0.090,-14.832,-8.728,6.470
0.808,0.559,-0.068,-15.198,-7.507,5.005
0.828,0.551,-0.092,-17.883,-3.235,5.127
0.814,0.553,-0.099,-14.160,-3.845,6.287
0.816,0.554,-0.084,-7.874,-3.235,7.812
0.813,0.564,-0.090,6.531,1.038,10.986
0.802,0.570,-0.103,12.146,1.953,11.719
0.800,0.571,-0.103,14.526,4.333,15.503
0.774,0.580,-0.093,14.465,6.531,18.677
0.758,0.599,-0.095,15.259,9.521,20.813
0.731,0.619,-0.108,8.728,15.564,15.625
0.656,0.602,-0.109,0.793,17.212,10.132
0.682,0.587,-0.105,-2.502,21.973,4.883
0.834,0.592,-0.126,-4.150,21.912,3.601

1.167,0.858,-0.777,1.099,-14.832,49.194
1.202,0.942,-0.819,-5.554,-13.550,49.438
1.200,0.980,-0.859,-5.737,-17.822,40.039
1.164,0.916,-0.866,1.038,-26.672,4.700
0.968,0.721,-0.931,7.935,-23.071,-18.494
0.837,0.632,-1.033,15.503,-16.907,-41.809
0.719,0.560,-1.176,25.513,-14.587,-71.655
0.614,0.472,-1.472,24.658,-21.973,-69.702
0.619,0.436,-1.552,7.874,-51.819,-35.828
0.616,0.402,-1.426,-2.930,-72.205,-13.733
0.618,0.406,-1.293,-8.789,-98.022,4.211
0.628,0.422,-1.164,-1.465,-157.471,26.184
0.641,0.437,-0.937,10.376,-182.434,38.208
0.678,0.405,-0.843,34.729,-209.106,44.617
0.687,0.315,-0.673,35.645,-210.693,31.128
0.579,0.289,-0.554,22.583,-211.853,-8.057
0.124,0.238,-0.121,18.616,-217.834,-24.353
-0.148,0.184,0.172,22.278,-223.999,-41.504
-0.381,0.110,0.489,60.852,-216.919,-89.172
-0.593,-0.057,1.014,88.135,-203.918,-110.718
-0.670,-0.093,1.143,88.196,-200.745,-122.437
-0.873,0.144,1.463,43.945,-222.778,-98.267
-0.841,0.442,1.774,-70.557,-288.025,9.888
-0.051,0.773,2.349,-95.459,-306.946,50.110
