"aX","aY","aZ","gX","gY","gZ"
0.599,-1.273,-0.772,98.938,-20.996,86.243
0.604,-1.263,-0.836,123.169,-16.785,123.047
0.502,-1.213,-0.948,110.291,-2.747,119.019
0.487,-1.123,-0.971,117.737,1.343,122.864
0.491,-1.074,-1.001,136.597,-11.292,139.954
0.481,-1.051,-0.996,148.010,-21.423,148.743
0.483,-1.015,-0.987,168.457,-36.499,145.386
0.535,-0.952,-0.969,175.476,-43.701,143.494
0.552,-0.928,-0.966,188.049,-57.678,152.649
0.541,-0.891,-0.979,195.862,-62.805,162.659
0.524,-0.860,-0.985,213.745,-64.209,178.955
0.480,-0.763,-0.988,226.685,-62.195,181.824
0.454,-0.708,-0.980,242.859,-59.631,179.749
0.433,-0.657,-0.973,268.311,-56.641,161.682
0.408,-0.564,-0.986,274.292,-59.387,149.536
0.392,-0.525,-0.997,282.532,-78.796,130.798
0.365,-0.450,-0.985,282.349,-95.459,124.207
0.331,-0.403,-0.932,267.700,-136.353,110.291
0.262,-0.329,-0.778,257.751,-156.799,101.929
0.250,-0.296,-0.706,248.779,-190.002,87.280
0.255,-0.221,-0.596,252.991,-199.707,80.444
0.269,-0.198,-0.551,263.306,-202.209,73.364
0.284,-0.169,-0.494,292.358,-191.650,60.669
0.269,-0.092,-0.314,302.063,-185.852,53.711
0.254,-0.054,-0.228,309.082,-189.758,35.339
0.309,0.008,-0.154,312.256,-198.364,26.123
0.341,0.041,-0.107,319.397,-209.839,6.348
0.350,0.049,0.089,318.115,-211.914,-2.075
0.346,0.033,0.163,312.195,-211.914,-6.653
0.349,0.024,0.194,299.255,-202.637,-8.423
0.357,0.011,0.190,297.791,-195.129,-10.925
0.347,-0.003,0.199,300.659,-186.523,-18.982
0.328,-0.059,0.239,302.673,-186.645,-23.132
0.329,-0.070,0.229,304.626,-188.660,-26.733
0.314,-0.084,0.220,308.655,-199.097,-35.156
0.225,-0.153,0.293,312.195,-206.848,-42.236
0.192,-0.190,0.375,316.528,-220.764,-56.030
0.168,-0.267,0.577,315.308,-228.210,-60.730
0.183,-0.291,0.680,303.162,-240.967,-63.660
0.141,-0.387,0.901,293.579,-242.187,-61.584
0.085,-0.498,1.081,282.593,-238.953,-58.167
0.017,-0.649,1.270,250.183,-229.187,-46.753
-0.121,-1.030,1.581,234.741,-214.905,-43.701
-0.161,-1.203,1.808,221.985,-167.297,-38.086
-0.168,-1.340,2.408,209.656,-142.822,-31.250
-0.133,-1.262,2.575,135.498,-78.979,-14.709
-0.004,-0.942,2.187,82.153,-42.114,-5.188
0.052,-0.743,1.695,-0.793,11.414,13.062
0.156,-0.373,0.735,-15.442,18.799,16.663
0.228,-0.230,0.469,-11.414,15.381,13.306
0.297,-0.140,0.367,29.724,0.122,-5.981
0.361,-0.166,0.564,51.697,-8.179,-15.076
0.357,-0.267,0.797,68.176,-21.301,-20.996
0.334,-0.474,1.145,62.073,-18.982,-18.066
0.326,-0.539,1.160,37.537,-4.944,-8.057
0.308,-0.614,1.081,26.917,0.977,-3.906
0.312,-0.616,1.047,18.555,5.554,-0.549
0.322,-0.588,1.007,5.798,12.939,2.991
0.353,-0.535,0.975,-1.404,15.686,2.380
0.376,-0.519,0.978,-19.531,20.630,1.831
0.378,-0.509,0.986,-26.978,24.963,4.211
0.360,-0.521,1.025,-32.471,29.541,8.301
0.330,-0.543,1.094,-42.175,41.016,19.409
0.260,-0.622,1.266,-49.622,47.424,23.987
0.239,-0.662,1.320,-75.256,58.289,28.198
0.234,-0.709,1.368,-89.661,64.575,30.945
0.239,-0.712,1.386,-114.563,82.031,41.077
0.240,-0.703,1.373,-125.916,92.163,47.302
0.242,-0.687,1.349,-136.536,102.295,53.589
0.255,-0.661,1.322,-159.546,124.878,67.444
0.282,-0.596,1.245,-174.499,136.414,74.768
0.280,-0.562,1.187,-201.660,157.043,88.196
0.250,-0.497,1.070,-209.534,166.199,92.834
0.228,-0.467,1.000,-213.562,178.894,98.267
0.205,-0.370,0.856,-210.999,181.152,97.473
0.218,-0.312,0.818,-209.351,181.702,92.957
0.238,-0.264,0.801,-221.008,182.495,76.172
0.285,-0.203,0.759,-233.520,184.875,66.284
0.298,-0.185,0.711,-259.705,195.923,49.744
0.277,-0.161,0.561,-266.846,202.270,44.128
0.257,-0.142,0.475,-267.273,209.167,39.368
0.238,-0.093,0.318,-251.404,227.417,26.672
0.231,-0.056,0.260,-239.807,233.520,19.287
0.238,-0.010,0.208,-230.530,239.319,-0.244
0.279,0.026,0.085,-234.253,240.540,-9.705
0.302,0.023,0.023,-239.990,236.145,-18.433
0.366,0.055,-0.075,-239.441,231.750,-20.203
0.391,0.070,-0.125,-238.220,227.295,-23.010
0.360,0.032,-0.181,-242.920,223.267,-29.541
