"aX","aY","aZ","gX","gY","gZ"
-1.123,1.281,-0.359,-122.742,74.951,197.083
-0.878,1.369,-0.357,-109.924,121.582,238.525
-0.482,1.635,-0.512,-73.853,115.601,239.929
-0.334,1.839,-0.678,7.141,104.553,230.347
0.429,1.763,-1.004,26.489,108.276,210.571
0.645,1.430,-1.056,23.254,91.431,156.799
0.478,1.085,-1.038,-21.423,-4.883,0.366
-0.317,0.502,-0.926,-42.053,-35.828,-43.396
-0.496,0.290,-0.815,-63.965,-25.269,-35.706
-0.377,0.181,-0.498,-54.138,-13.855,-15.808
-0.310,0.230,-0.444,13.184,-9.155,11.230
-0.233,0.444,-0.655,43.457,-3.235,22.095
-0.157,0.556,-0.801,55.542,7.629,30.457
-0.080,0.640,-0.899,38.269,15.320,25.024
-0.027,0.703,-0.928,28.198,8.484,11.292
-0.057,0.696,-0.907,28.015,-12.939,-18.799
-0.113,0.677,-0.838,34.180,-22.156,-29.175
-0.090,0.688,-0.783,55.969,-39.673,-45.227
-0.013,0.767,-0.685,75.195,-49.988,-55.298
0.003,0.810,-0.680,100.037,-61.584,-66.528
0.008,0.845,-0.708,147.949,-83.069,-85.754
0.030,0.897,-0.800,160.217,-87.402,-92.712
0.027,0.917,-0.837,160.400,-85.205,-104.431
0.031,0.975,-0.875,153.564,-81.848,-108.704
0.061,1.025,-0.864,138.367,-78.125,-124.817
0.118,1.161,-0.729,136.230,-84.229,-140.808
0.120,1.238,-0.629,140.076,-95.337,-161.560
0.106,1.297,-0.528,163.513,-124.390,-207.031
0.100,1.326,-0.337,179.626,-139.343,-228.516
0.107,1.297,-0.264,214.294,-156.067,-261.658
0.111,1.275,-0.153,232.300,-157.532,-268.860
0.109,1.342,-0.112,267.090,-147.888,-273.071
0.073,1.463,-0.032,285.889,-148.254,-277.466
0.021,1.425,0.005,309.143,-158.875,-283.569
-0.028,1.310,0.026,343.628,-173.523,-286.133
-0.010,0.958,0.015,335.632,-158.142,-276.855
0.043,0.811,-0.006,268.311,-99.121,-242.859
0.156,0.604,-0.068,222.046,-68.665,-225.586
0.204,0.522,-0.065,129.272,-4.944,-194.031
0.337,0.385,-0.077,93.262,26.245,-180.786
0.411,0.276,-0.130,68.787,48.096,-169.189
0.520,0.119,-0.170,39.246,54.382,-145.386
0.757,-0.069,-0.135,29.114,51.941,-133.118
0.832,-0.124,-0.151,23.254,51.880,-116.760
0.915,-0.243,-0.196,23.132,50.049,-109.192
0.925,-0.274,-0.200,32.837,45.654,-89.355
1.028,-0.290,-0.280,45.471,40.527,-73.730
1.124,-0.260,-0.343,58.350,31.433,-58.960
1.192,-0.229,-0.392,66.101,0.977,-56.213
1.203,-0.283,-0.372,55.725,-14.954,-62.073
1.220,-0.283,-0.285,26.306,-30.457,-71.289
1.234,-0.259,-0.097,20.630,-35.400,-80.994
1.195,-0.265,-0.053,25.879,-31.433,-87.341
1.143,-0.277,-0.070,30.396,-23.376,-83.069
1.104,-0.310,-0.147,31.433,-17.456,-78.491
1.076,-0.335,-0.207,11.536,-8.728,-70.435
1.032,-0.369,-0.268,-2.014,-2.930,-72.021
1.002,-0.386,-0.294,-16.785,2.808,-71.533
1.023,-0.351,-0.283,-10.803,-4.822,-66.040
1.029,-0.330,-0.289,16.907,-39.307,-57.312
0.995,-0.286,-0.216,18.005,-54.687,-56.702
0.968,-0.274,-0.101,-14.404,-58.899,-67.444
0.861,-0.351,0.128,-30.457,-50.964,-71.716
0.803,-0.420,0.172,-36.499,-41.870,-69.214
0.762,-0.481,0.154,-21.851,-23.315,-37.659
0.789,-0.468,0.037,-13.123,-12.756,-15.747
0.838,-0.409,-0.012,-11.169,8.789,17.761
0.965,-0.248,-0.021,-16.357,18.188,26.855
1.045,-0.162,0.013,-20.386,25.085,32.410
1.188,-0.033,0.090,-17.273,22.583,29.541
1.229,-0.004,0.116,-13.977,19.714,23.865
1.243,0.002,0.130,-12.634,17.944,7.935
1.194,-0.033,0.135,-13.733,18.127,-0.549
1.147,-0.053,0.132,-16.235,18.860,-14.954
1.042,-0.101,0.134,-17.578,18.250,-19.592
0.991,-0.129,0.141,-15.198,12.024,-22.766
0.907,-0.170,0.154,-10.742,6.226,-20.874
0.880,-0.176,0.159,-5.432,0.061,-16.846
0.864,-0.179,0.159,3.357,-4.883,-6.592
0.857,-0.169,0.141,5.005,-4.883,-1.831
0.863,-0.162,0.136,0.671,-0.793,3.113
0.891,-0.145,0.138,-2.075,2.258,4.944
0.907,-0.137,0.128,-1.465,5.493,8.179
0.943,-0.122,0.098,-0.183,5.432,9.583
